"","school","sex","age","Pstatus","Medu","Fedu","traveltime","studytime","failures","higher","internet","absences","G1","G2","G3"
"311","Gabriel Pereira","F",19,"T",1,2,1,2,1,"yes","no",0,9,9,0
"312","Gabriel Pereira","F",19,"T",2,1,3,2,0,"no","yes",20,14,12,13
"313","Gabriel Pereira","M",19,"T",1,2,1,2,1,"yes","yes",3,13,11,11
"314","Gabriel Pereira","F",19,"T",3,2,2,2,1,"yes","yes",22,13,10,11
"315","Gabriel Pereira","F",19,"T",1,1,1,3,2,"yes","yes",14,15,13,13
"316","Gabriel Pereira","F",19,"T",2,3,1,3,1,"yes","yes",40,13,11,11
"317","Gabriel Pereira","F",18,"T",2,1,2,2,0,"yes","yes",0,8,8,0
"318","Gabriel Pereira","F",18,"T",4,3,1,3,0,"yes","yes",9,9,10,9
"319","Gabriel Pereira","F",17,"T",3,4,1,3,0,"yes","yes",0,11,11,10
"320","Gabriel Pereira","F",18,"T",4,4,1,2,0,"yes","yes",2,11,11,11
"321","Gabriel Pereira","F",17,"A",4,3,1,2,0,"yes","yes",23,13,13,13
"322","Gabriel Pereira","F",17,"T",2,2,1,2,0,"yes","no",12,11,9,9
"323","Gabriel Pereira","F",17,"T",2,2,1,3,0,"yes","yes",3,11,11,11
"324","Gabriel Pereira","F",17,"T",3,1,1,3,0,"yes","yes",1,12,14,15
"325","Gabriel Pereira","F",17,"T",0,2,2,3,0,"yes","yes",0,16,15,15
"326","Gabriel Pereira","M",18,"T",4,4,1,3,0,"yes","yes",3,9,12,11
"327","Gabriel Pereira","M",17,"T",3,3,1,1,0,"yes","yes",3,14,15,16
"328","Gabriel Pereira","M",17,"T",2,2,4,1,0,"yes","yes",8,11,10,10
"329","Gabriel Pereira","F",17,"T",4,4,1,3,0,"yes","yes",7,10,9,9
"330","Gabriel Pereira","F",17,"T",4,4,2,3,0,"yes","yes",4,14,14,14
"331","Gabriel Pereira","M",18,"T",2,2,1,4,0,"yes","yes",2,9,8,8
"332","Gabriel Pereira","F",17,"T",2,4,1,3,0,"yes","yes",7,12,14,14
"333","Gabriel Pereira","F",18,"T",3,3,1,2,0,"yes","yes",0,7,0,0
"334","Gabriel Pereira","F",18,"T",2,2,1,2,0,"yes","yes",0,8,8,0
"335","Gabriel Pereira","F",18,"T",2,2,2,4,0,"yes","no",0,10,9,0
"336","Gabriel Pereira","F",17,"T",3,4,1,3,0,"yes","yes",16,16,15,15
"337","Gabriel Pereira","F",19,"A",3,1,1,3,1,"yes","no",12,14,13,13
"338","Gabriel Pereira","F",17,"T",3,2,1,2,0,"yes","yes",0,7,8,0
"339","Gabriel Pereira","F",18,"T",3,3,1,4,0,"yes","yes",7,16,15,17
"340","Gabriel Pereira","F",17,"A",3,2,1,2,0,"yes","yes",4,9,10,10
"341","Gabriel Pereira","F",19,"T",2,1,1,3,1,"yes","yes",4,11,12,11
"342","Gabriel Pereira","M",18,"T",4,4,1,2,1,"yes","yes",0,10,10,0
"343","Gabriel Pereira","M",18,"T",3,4,1,2,0,"yes","yes",11,16,15,15
"344","Gabriel Pereira","F",17,"A",2,2,1,2,1,"yes","yes",0,9,8,0
"345","Gabriel Pereira","F",18,"T",2,3,1,3,0,"yes","yes",4,11,10,10
"346","Gabriel Pereira","F",18,"T",3,2,1,3,0,"yes","yes",7,13,13,14
"347","Gabriel Pereira","M",18,"T",4,3,1,3,0,"yes","yes",9,16,15,16
"348","Gabriel Pereira","M",18,"T",4,3,1,3,0,"yes","yes",0,10,10,9
"349","Gabriel Pereira","F",17,"T",4,3,1,3,0,"yes","yes",0,13,15,15
"350","Mousinho da Silveira","M",18,"T",3,2,2,1,1,"yes","yes",10,11,13,13
"351","Mousinho da Silveira","M",19,"T",1,1,3,2,3,"yes","yes",8,8,7,8
"352","Mousinho da Silveira","M",17,"T",3,3,2,2,0,"yes","yes",2,13,13,13
"353","Mousinho da Silveira","M",18,"T",1,3,1,1,1,"no","yes",7,8,7,8
"354","Mousinho da Silveira","M",19,"T",1,1,3,1,1,"yes","yes",4,8,8,8
"355","Mousinho da Silveira","M",17,"T",4,3,2,2,0,"yes","yes",4,13,11,11
"356","Mousinho da Silveira","F",18,"T",3,3,1,2,0,"yes","no",0,10,9,9
"357","Mousinho da Silveira","F",17,"T",4,4,2,2,0,"yes","yes",4,12,13,13
"358","Mousinho da Silveira","F",17,"A",3,2,2,2,0,"yes","no",2,12,12,11
"359","Mousinho da Silveira","M",18,"T",1,1,2,1,0,"yes","yes",4,10,10,10
"360","Mousinho da Silveira","F",18,"T",1,1,2,3,0,"yes","yes",0,18,16,16
"361","Mousinho da Silveira","F",18,"A",1,4,3,2,0,"yes","no",0,13,13,13
"362","Mousinho da Silveira","M",18,"T",1,1,2,2,1,"no","no",2,13,12,12
"363","Mousinho da Silveira","F",18,"T",3,3,2,2,0,"yes","yes",0,11,11,10
"364","Mousinho da Silveira","F",17,"T",4,4,1,2,0,"yes","yes",0,16,15,15
"365","Mousinho da Silveira","F",17,"T",1,2,2,2,0,"yes","no",0,12,11,12
"366","Mousinho da Silveira","M",18,"T",1,3,2,2,0,"yes","no",4,10,10,10
"367","Mousinho da Silveira","M",18,"T",4,4,2,3,0,"yes","yes",0,13,13,13
"368","Mousinho da Silveira","F",17,"T",1,1,3,1,1,"yes","yes",0,7,6,0
"369","Mousinho da Silveira","F",18,"T",2,3,2,1,0,"yes","yes",0,11,10,10
"370","Mousinho da Silveira","F",18,"T",4,4,3,2,0,"yes","yes",10,14,12,11
"371","Mousinho da Silveira","F",19,"T",3,2,2,2,2,"yes","no",4,7,7,9
"372","Mousinho da Silveira","M",18,"T",1,2,3,1,0,"no","yes",3,14,12,12
"373","Mousinho da Silveira","F",17,"T",2,2,1,3,0,"yes","no",8,13,11,11
"374","Mousinho da Silveira","F",17,"T",1,2,1,1,0,"yes","yes",14,6,5,5
"375","Mousinho da Silveira","F",18,"T",4,4,2,3,0,"yes","yes",0,19,18,19
"376","Mousinho da Silveira","F",18,"T",1,1,4,3,0,"yes","yes",2,8,8,10
"377","Mousinho da Silveira","F",20,"T",4,2,2,3,2,"yes","yes",4,15,14,15
"378","Mousinho da Silveira","F",18,"T",4,4,1,2,0,"yes","yes",4,8,9,10
"379","Mousinho da Silveira","F",18,"T",3,3,1,2,0,"yes","yes",0,15,15,15
"380","Mousinho da Silveira","F",17,"T",3,1,1,2,0,"yes","yes",17,10,10,10
"381","Mousinho da Silveira","M",18,"T",4,4,1,2,0,"yes","yes",4,15,14,14
"382","Mousinho da Silveira","M",18,"T",2,1,2,1,0,"yes","yes",5,7,6,7
"383","Mousinho da Silveira","M",17,"T",2,3,2,2,0,"yes","yes",2,11,11,10
"384","Mousinho da Silveira","M",19,"T",1,1,2,1,1,"yes","no",0,6,5,0
"385","Mousinho da Silveira","M",18,"T",4,2,2,1,1,"yes","no",14,6,5,5
"386","Mousinho da Silveira","F",18,"T",2,2,2,3,0,"yes","no",2,10,9,10
"387","Mousinho da Silveira","F",18,"T",4,4,3,1,0,"yes","yes",7,6,5,6
"388","Mousinho da Silveira","F",19,"T",2,3,1,3,1,"yes","yes",0,7,5,0
"389","Mousinho da Silveira","F",18,"T",3,1,1,2,0,"yes","yes",0,7,9,8
"390","Mousinho da Silveira","F",18,"T",1,1,2,2,1,"yes","no",0,6,5,0
"391","Mousinho da Silveira","M",20,"A",2,2,1,2,2,"yes","no",11,9,9,9
"392","Mousinho da Silveira","M",17,"T",3,1,2,1,0,"yes","yes",3,14,16,16
"393","Mousinho da Silveira","M",21,"T",1,1,1,1,3,"yes","no",3,10,8,7
"394","Mousinho da Silveira","M",18,"T",3,2,3,1,0,"yes","yes",0,11,12,10
"395","Mousinho da Silveira","M",19,"T",1,1,1,1,0,"yes","yes",5,8,9,9
